order_id,order_placed_at,order_delivered_at
1523187,01-03-2023 3.05,2023-03-01 03:35:47.166291
1523188,01-03-2023 3.07,2023-03-01 03:23:24.381129
1523189,01-03-2023 3.08,2023-03-01 03:24:13.385694
1523190,01-03-2023 3.09,2023-03-01 03:26:23.844438
1523191,01-03-2023 3.14,2023-03-01 03:30:22.643739
1523192,01-03-2023 3.15,2023-03-01 03:32:20.261850
1523193,01-03-2023 3.16,2023-03-01 03:31:58.234875
1523194,01-03-2023 3.17,2023-03-01 03:35:21.420219
1523195,01-03-2023 3.24,2023-03-01 03:40:20.713046
1523196,01-03-2023 3.31,2023-03-01 03:47:21.238064
1523197,01-03-2023 3.31,2023-03-01 03:46:11.657293
1523198,01-03-2023 3.35,2023-03-01 03:59:49.276674
1523199,01-03-2023 3.38,2023-03-01 03:54:16.906226
1523200,01-03-2023 3.39,2023-03-01 03:54:24.707777
1523201,01-03-2023 3.40,2023-03-01 04:02:07.914431
1523202,01-03-2023 3.40,2023-03-01 03:56:15.805691
1523203,01-03-2023 3.41,2023-03-01 04:00:20.753927
1523204,01-03-2023 3.42,2023-03-01 03:57:27.550621
1523205,01-03-2023 3.50,2023-03-01 04:06:38.552637
1523206,01-03-2023 3.53,2023-03-01 04:08:43.381854
1523207,01-03-2023 3.54,2023-03-01 04:09:48.428497
1523208,01-03-2023 3.55,2023-03-01 04:10:41.034465
1523209,01-03-2023 3.56,2023-03-01 04:15:17.871936
1523210,01-03-2023 3.56,2023-03-01 04:13:05.508350
1523211,01-03-2023 4.06,2023-03-01 04:23:47.629407
1523212,01-03-2023 4.13,2023-03-01 04:28:44.715261
1523213,01-03-2023 4.13,2023-03-01 04:30:07.505153
1523214,01-03-2023 4.14,2023-03-01 04:29:56.775889
1523215,01-03-2023 4.18,2023-03-01 04:33:58.183698
1523216,01-03-2023 4.25,2023-03-01 04:40:23.811154
1523217,01-03-2023 4.27,2023-03-01 04:42:05.071803
1523218,01-03-2023 4.29,2023-03-01 04:44:44.942226
1523219,01-03-2023 4.31,2023-03-01 04:47:58.412728
1523220,01-03-2023 4.33,2023-03-01 04:50:03.973640
1523221,01-03-2023 4.37,2023-03-01 04:59:07.462194
1523222,01-03-2023 4.42,2023-03-01 04:57:37.547482
1523223,01-03-2023 4.45,2023-03-01 05:01:52.591075
1523224,01-03-2023 4.47,2023-03-01 05:02:56.373278
1523225,01-03-2023 4.48,2023-03-01 05:04:55.177325
1523226,01-03-2023 4.54,2023-03-01 05:10:57.613890
1523227,01-03-2023 4.55,2023-03-01 05:10:42.587815
1523228,01-03-2023 4.59,2023-03-01 18:06:52.046891
1523229,01-03-2023 5.00,2023-03-01 05:15:40.408462
1523230,01-03-2023 5.00,2023-03-01 05:15:54.605064
1523231,01-03-2023 5.05,2023-03-01 05:22:48.650703
1523232,01-03-2023 5.05,2023-03-01 05:21:16.236755
1523233,01-03-2023 5.06,2023-03-01 05:21:37.508648
1523234,01-03-2023 5.07,2023-03-01 05:22:42.587735
1523235,01-03-2023 5.08,2023-03-01 05:24:15.605410
1523236,01-03-2023 5.10,2023-03-01 05:29:59.149059
1523237,01-03-2023 5.15,2023-03-01 05:38:49.459946
1523238,01-03-2023 5.17,2023-03-01 05:33:32.991585
1523239,01-03-2023 5.18,2023-03-01 05:33:34.265944
1523240,01-03-2023 5.19,2023-03-01 05:35:02.697498
1523241,01-03-2023 5.19,2023-03-01 05:35:34.712719
1523242,01-03-2023 5.21,2023-03-01 05:37:21.928321
1523243,01-03-2023 5.22,2023-03-01 05:39:05.514058
1523244,01-03-2023 5.23,2023-03-01 05:43:01.286120
1523245,01-03-2023 5.27,2023-03-01 05:44:48.598256
1523246,01-03-2023 5.39,2023-03-01 05:54:52.332886
1523247,01-03-2023 5.41,2023-03-01 05:58:07.837512
1523248,01-03-2023 5.44,2023-03-01 05:59:51.089051
1523249,01-03-2023 5.49,2023-03-01 06:08:11.020244
1523250,01-03-2023 5.53,2023-03-01 06:08:17.237352
1523251,01-03-2023 5.53,2023-03-01 06:08:23.475246
1523252,01-03-2023 5.58,2023-03-01 06:15:06.298410
1523253,01-03-2023 5.59,2023-03-01 06:26:18.868653
1523254,01-03-2023 6.05,2023-03-01 06:20:43.189046
1523255,01-03-2023 6.05,2023-03-01 06:20:41.896530
1523256,01-03-2023 6.08,2023-03-01 06:23:30.048760
1523257,01-03-2023 6.09,2023-03-01 06:25:27.984631
1523258,01-03-2023 6.10,2023-03-01 06:25:19.812372
1523259,01-03-2023 6.13,2023-03-01 06:29:16.312852
1523260,01-03-2023 6.14,2023-03-01 06:33:55.555724
1523261,01-03-2023 6.16,2023-03-01 06:35:45.165392
1523262,01-03-2023 6.31,2023-03-01 06:46:43.296592
1523263,01-03-2023 6.32,2023-03-01 06:48:48.261311
1523264,01-03-2023 6.32,2023-03-01 06:52:03.330949
1523265,01-03-2023 6.34,2023-03-01 06:52:04.024843
1523266,01-03-2023 6.34,2023-03-01 06:50:08.894056
1523267,01-03-2023 6.36,2023-03-01 06:53:34.939294
1523268,01-03-2023 6.38,2023-03-01 06:53:21.450845
1523269,01-03-2023 6.38,2023-03-01 06:57:26.993433
1523270,01-03-2023 6.43,2023-03-01 06:58:22.769316
1523271,01-03-2023 6.45,2023-03-01 07:02:33.074383
1523272,01-03-2023 6.48,2023-03-01 07:04:03.575604
1523273,01-03-2023 6.50,2023-03-01 07:06:48.674518
1523274,01-03-2023 7.00,2023-03-01 07:16:02.696773
1523275,01-03-2023 7.03,2023-03-01 07:20:02.950959
1523276,01-03-2023 7.05,2023-03-01 07:22:57.171077
1523277,01-03-2023 7.06,2023-03-01 07:21:35.111628
1523278,01-03-2023 7.08,2023-03-01 07:30:01.953413
1523279,01-03-2023 7.14,2023-03-01 07:29:07.334348
1523280,01-03-2023 7.14,2023-03-01 07:37:10.509323
1523281,01-03-2023 7.16,2023-03-01 07:33:21.323027
1523282,01-03-2023 7.19,2023-03-01 07:35:10.251249
1523283,01-03-2023 7.19,2023-03-01 07:35:06.624468
1523284,01-03-2023 7.21,2023-03-01 07:37:28.811872
1523285,01-03-2023 7.22,2023-03-01 08:12:51.906470
1523286,01-03-2023 7.22,2023-03-01 07:38:35.997604
1523287,01-03-2023 7.25,2023-03-01 07:40:29.326472
1523288,01-03-2023 7.27,2023-03-01 07:42:48.380637
1523289,01-03-2023 7.29,2023-03-01 07:48:23.572168
1523290,01-03-2023 7.30,2023-03-01 07:46:04.118175
1523291,01-03-2023 7.30,2023-03-01 07:46:16.109246
1523292,01-03-2023 7.36,2023-03-01 07:52:51.169132
1523293,01-03-2023 7.41,2023-03-01 08:00:52.861749
1523294,01-03-2023 7.44,2023-03-01 08:01:55.613577
1523295,01-03-2023 7.45,2023-03-01 08:01:03.098345
1523296,01-03-2023 7.47,2023-03-01 08:08:28.938687
1523297,01-03-2023 7.49,2023-03-01 08:04:49.246086
1523298,01-03-2023 7.50,2023-03-01 08:05:15.036648
1523299,01-03-2023 7.56,2023-03-01 08:23:11.182088
1523300,01-03-2023 7.56,2023-03-01 08:11:49.418665
1523301,01-03-2023 7.57,2023-03-01 08:12:51.236977
1523302,01-03-2023 8.01,2023-03-01 08:25:47.896062
1523303,01-03-2023 8.07,2023-03-01 08:23:22.045939
1523304,01-03-2023 8.07,2023-03-01 08:23:40.695771
1523305,01-03-2023 8.12,2023-03-01 08:28:05.982918
1523306,01-03-2023 8.13,2023-03-01 08:28:07.153311
1523307,01-03-2023 8.13,2023-03-01 08:28:36.682679
1523308,01-03-2023 8.34,2023-03-01 08:50:04.413257
1523309,01-03-2023 8.42,2023-03-01 08:57:52.297657
1523310,01-03-2023 8.43,2023-03-01 08:58:06.830231
1523311,01-03-2023 8.44,2023-03-01 09:00:12.030922
1523312,01-03-2023 8.45,2023-03-01 09:04:20.871133
1523313,01-03-2023 8.46,2023-03-01 09:01:34.369634
1523314,01-03-2023 8.51,2023-03-01 09:07:07.423988
1523315,01-03-2023 8.54,2023-03-01 09:09:57.608458
1523316,01-03-2023 9.01,2023-03-01 09:16:49.936759
1523317,01-03-2023 9.04,2023-03-01 09:25:57.658024
1523318,01-03-2023 9.07,2023-03-01 09:24:11.882157
1523319,01-03-2023 9.10,2023-03-01 09:25:49.649410
1523320,01-03-2023 9.21,2023-03-01 09:36:27.629157
1523321,01-03-2023 9.21,2023-03-01 09:36:30.289531
1523322,01-03-2023 9.25,2023-03-01 09:40:55.208835
1523323,01-03-2023 9.30,2023-03-01 09:46:24.453294
1523324,01-03-2023 9.30,2023-03-01 09:46:39.226342
1523325,01-03-2023 9.31,2023-03-01 09:49:57.935606
1523326,01-03-2023 9.38,2023-03-01 09:53:36.182817
1523327,01-03-2023 9.41,2023-03-01 10:00:19.242208
1523328,01-03-2023 9.41,2023-03-01 09:57:51.670643
1523329,01-03-2023 9.43,2023-03-01 09:58:46.070022
1523330,01-03-2023 9.44,2023-03-01 10:00:18.086572
1523331,01-03-2023 9.48,2023-03-01 10:06:28.884074
1523332,01-03-2023 9.55,2023-03-01 10:12:48.036040
1523333,01-03-2023 9.55,2023-03-01 10:25:33.412654
1523334,01-03-2023 10.02,2023-03-01 10:19:30.962273
1523335,01-03-2023 10.05,2023-03-01 10:20:33.076999
1523336,01-03-2023 10.05,2023-03-01 10:20:47.904571
1523337,01-03-2023 10.07,2023-03-01 10:28:16.598596
1523338,01-03-2023 10.12,2023-03-01 10:27:20.140941
1523339,01-03-2023 10.14,2023-03-01 10:38:47.254749
1523340,01-03-2023 10.15,2023-03-01 10:32:05.401650
1523341,01-03-2023 10.16,2023-03-01 10:31:39.411323
1523342,01-03-2023 10.20,2023-03-01 10:35:37.345889
1523343,01-03-2023 10.25,2023-03-01 10:40:34.823663
1523344,01-03-2023 10.25,2023-03-01 10:40:45.963277
1523345,01-03-2023 10.32,2023-03-01 10:47:13.256538
1523346,01-03-2023 10.32,2023-03-01 10:47:24.868907
1523347,01-03-2023 10.32,2023-03-01 10:47:51.755285
1523348,01-03-2023 10.34,2023-03-01 10:49:35.418693
1523349,01-03-2023 10.35,2023-03-01 10:50:32.465928
1523350,01-03-2023 10.37,2023-03-01 10:53:25.309631
1523351,01-03-2023 10.41,2023-03-01 10:57:22.361677
1523352,01-03-2023 10.42,2023-03-01 11:01:22.891192
1523353,01-03-2023 10.44,2023-03-01 11:00:26.195747
1523354,01-03-2023 10.47,2023-03-01 11:05:41.571819
1523355,01-03-2023 10.47,2023-03-01 11:15:47.158323
1523356,01-03-2023 10.48,2023-03-01 11:06:16.045255
1523357,01-03-2023 10.53,2023-03-01 11:12:09.736801
1523358,01-03-2023 10.57,2023-03-01 11:12:17.863835
1523359,01-03-2023 10.58,2023-03-01 11:14:57.125501
1523360,01-03-2023 10.59,2023-03-01 11:16:11.948615
1523361,01-03-2023 11.05,2023-03-01 11:20:57.208236
1523362,01-03-2023 11.06,2023-03-01 11:32:19.168049
1523363,01-03-2023 11.08,2023-03-01 11:25:11.486299
1523364,01-03-2023 11.08,2023-03-01 11:23:57.420916
1523365,01-03-2023 11.08,2023-03-01 11:23:37.792801
1523366,01-03-2023 11.09,2023-03-01 11:25:27.584374
1523367,01-03-2023 11.10,2023-03-01 11:25:39.350535
1523368,01-03-2023 11.11,2023-03-01 11:27:07.576900
1523369,01-03-2023 11.13,2023-03-01 11:30:06.077259
1523370,01-03-2023 11.19,2023-03-01 11:34:29.048426
1523371,01-03-2023 11.19,2023-03-01 11:40:38.872945
1523372,01-03-2023 11.20,2023-03-01 12:01:21.359545
1523373,01-03-2023 11.29,2023-03-01 11:45:06.344884
1523374,01-03-2023 11.30,2023-03-01 11:46:43.794412
1523375,01-03-2023 11.31,2023-03-01 11:47:11.566833
1523376,01-03-2023 11.32,2023-03-01 11:49:24.403934
1523377,01-03-2023 11.34,2023-03-01 11:50:30.212214
1523378,01-03-2023 11.40,2023-03-01 12:04:30.563649
1523379,01-03-2023 11.40,2023-03-01 11:56:25.861479
1523380,01-03-2023 11.45,2023-03-01 12:00:18.020721
1523381,01-03-2023 11.47,2023-03-01 12:02:29.721914
1523382,01-03-2023 11.47,2023-03-01 12:05:10.315954
1523383,01-03-2023 11.48,2023-03-01 12:30:57.713993
1523384,01-03-2023 11.48,2023-03-01 12:04:22.521228
1523385,01-03-2023 11.49,2023-03-01 12:33:12.184150
1523386,01-03-2023 11.56,2023-03-01 12:11:42.442097
1523387,01-03-2023 11.56,2023-03-01 12:15:57.306039
1523388,01-03-2023 11.57,2023-03-01 12:14:10.881716
1523389,01-03-2023 11.57,2023-03-01 12:14:28.737727
1523390,01-03-2023 12.04,2023-03-01 12:24:56.715928
1523391,01-03-2023 12.04,2023-03-01 12:20:02.728797
1523392,01-03-2023 12.05,2023-03-01 12:20:33.395081
1523393,01-03-2023 12.05,2023-03-01 12:21:30.208179
1523394,01-03-2023 12.16,2023-03-01 12:31:33.797367
1523395,01-03-2023 12.17,2023-03-01 12:32:36.419739
1523396,01-03-2023 12.23,2023-03-01 12:38:32.257187
1523397,01-03-2023 12.24,2023-03-01 12:41:22.478754
1523398,01-03-2023 12.29,2023-03-01 12:44:40.113836
1523399,01-03-2023 12.31,2023-03-01 12:46:30.513405
1523400,01-03-2023 12.36,2023-03-01 12:51:32.179768
1523401,01-03-2023 12.43,2023-03-01 13:01:07.470384
1523402,01-03-2023 12.46,2023-03-01 13:01:35.857138
1523403,01-03-2023 12.48,2023-03-01 13:03:38.239685
1523404,01-03-2023 12.50,2023-03-01 13:05:03.033868
1523405,01-03-2023 12.50,2023-03-01 13:06:58.178092
1523406,01-03-2023 12.55,2023-03-01 13:10:32.964993
1523407,01-03-2023 12.57,2023-03-01 13:15:45.942758
1523408,01-03-2023 12.59,2023-03-01 13:16:52.936119
1523409,01-03-2023 13.00,2023-03-01 13:15:34.668526
1523410,01-03-2023 13.03,2023-03-01 13:18:35.095294
1523411,01-03-2023 13.03,2023-03-01 13:19:10.149964
1523412,01-03-2023 13.05,2023-03-01 13:22:25.633270
1523413,01-03-2023 13.08,2023-03-01 13:24:07.662861
1523414,01-03-2023 13.10,2023-03-01 13:35:38.541928
1523415,01-03-2023 13.16,2023-03-01 13:32:30.214772
1523416,01-03-2023 13.17,2023-03-01 13:32:47.336553
1523417,01-03-2023 13.18,2023-03-01 13:34:03.064487
1523418,01-03-2023 13.18,2023-03-01 13:38:06.736575
1523419,01-03-2023 13.19,2023-03-01 13:34:53.430973
1523420,01-03-2023 13.19,2023-03-01 13:35:28.085918
1523421,01-03-2023 13.28,2023-03-01 13:43:44.380033
1523422,01-03-2023 13.32,2023-03-01 13:47:02.865307
1523423,01-03-2023 13.32,2023-03-01 13:47:39.081654
1523424,01-03-2023 13.36,2023-03-01 13:52:14.468137
1523425,01-03-2023 13.37,2023-03-01 13:55:50.630032
1523426,01-03-2023 13.37,2023-03-01 13:53:14.077100
1523427,01-03-2023 13.39,2023-03-01 13:55:02.900944
1523428,01-03-2023 13.47,2023-03-01 14:03:07.164110
1523429,01-03-2023 13.49,2023-03-01 14:05:16.152906
1523430,01-03-2023 13.51,2023-03-01 14:06:48.479896
1523431,01-03-2023 13.56,2023-03-01 14:11:14.003853
1523432,01-03-2023 13.59,2023-03-01 14:15:02.453494
1523433,01-03-2023 14.00,2023-03-01 14:15:23.298715
1523434,01-03-2023 14.01,2023-03-01 14:17:07.013047
1523435,01-03-2023 14.03,2023-03-01 14:18:51.584770
1523436,01-03-2023 14.04,2023-03-01 14:19:52.422217
1523437,01-03-2023 14.07,2023-03-01 14:22:51.349773
1523438,01-03-2023 14.10,2023-03-01 14:26:36.683863
1523439,01-03-2023 14.12,2023-03-01 14:28:19.269119
1523440,01-03-2023 14.16,2023-03-01 14:35:35.207581
1523441,01-03-2023 14.18,2023-03-01 14:34:15.513446
1523442,01-03-2023 14.18,2023-03-01 14:33:03.069632
1523443,01-03-2023 14.18,2023-03-01 14:34:03.249466
1523444,01-03-2023 14.20,2023-03-01 14:35:47.630054
1523445,01-03-2023 14.21,2023-03-01 14:37:28.732580
1523446,01-03-2023 14.23,2023-03-01 14:48:37.081177
1523447,01-03-2023 14.23,2023-03-01 14:38:20.663550
1523448,01-03-2023 14.23,2023-03-01 14:39:09.220872
1523449,01-03-2023 14.30,2023-03-01 14:54:06.192734
1523450,01-03-2023 14.35,2023-03-01 14:52:18.652436
1523451,01-03-2023 14.35,2023-03-01 14:51:05.670137
1523452,01-03-2023 14.40,2023-03-01 14:57:13.395350
1523453,01-03-2023 14.41,2023-03-01 15:03:13.275893
1523454,01-03-2023 14.43,2023-03-01 14:58:53.184312
1523455,01-03-2023 14.44,2023-03-01 15:11:53.376980
1523456,01-03-2023 14.52,2023-03-01 15:07:22.270492
1523457,01-03-2023 14.52,2023-03-01 15:31:30.379073
1523458,01-03-2023 14.52,2023-03-01 15:09:05.891574
1523459,01-03-2023 15.03,2023-03-01 15:18:43.513943
1523460,01-03-2023 15.04,2023-03-01 15:21:48.621173
1523461,01-03-2023 15.07,2023-03-01 15:24:14.783838
1523462,01-03-2023 15.10,2023-03-01 15:31:02.798707
1523463,01-03-2023 15.15,2023-03-01 15:30:44.132136
1523464,01-03-2023 15.15,2023-03-01 15:40:08.161603
1523465,01-03-2023 15.16,2023-03-01 15:31:25.473336
1523466,01-03-2023 15.19,2023-03-01 15:34:39.190605
1523467,01-03-2023 15.20,2023-03-01 15:35:44.462086
1523468,01-03-2023 15.29,2023-03-01 15:45:55.399651
1523469,01-03-2023 15.30,2023-03-01 15:47:34.074922
1523470,01-03-2023 15.38,2023-03-01 15:55:11.964786
1523471,01-03-2023 15.39,2023-03-01 15:54:18.867426
1523472,01-03-2023 15.41,2023-03-01 15:57:28.933100
1523473,01-03-2023 15.41,2023-03-01 15:57:24.063546
1523474,01-03-2023 15.43,2023-03-01 15:58:31.382699
1523475,01-03-2023 15.44,2023-03-01 15:59:15.917609
1523476,01-03-2023 15.45,2023-03-01 16:00:46.303534
1523477,01-03-2023 15.50,2023-03-01 16:08:30.207516
1523478,01-03-2023 15.50,2023-03-01 16:12:45.466003
1523479,01-03-2023 15.56,2023-03-01 16:11:32.790321
1523480,01-03-2023 15.57,2023-03-01 16:12:47.090064
1523481,01-03-2023 16.07,2023-03-01 16:22:23.368234
1523482,01-03-2023 16.10,2023-03-01 16:25:59.097264
1523483,01-03-2023 16.17,2023-03-01 16:32:07.497398
1523484,01-03-2023 16.22,2023-03-01 16:37:39.126437
1523485,01-03-2023 16.28,2023-03-01 16:43:29.111747
1523486,01-03-2023 16.31,2023-03-01 16:47:53.835418
1523487,01-03-2023 16.33,2023-03-01 16:49:02.151933
1523488,01-03-2023 16.34,2023-03-01 16:53:52.350062
1523489,01-03-2023 16.39,2023-03-01 16:55:44.979983
1523490,01-03-2023 16.39,2023-03-01 16:55:27.230221
1523491,01-03-2023 16.39,2023-03-01 16:58:01.419367
1523492,01-03-2023 16.40,2023-03-01 16:56:37.163907
1523493,01-03-2023 16.41,2023-03-01 16:57:11.895661
1523494,01-03-2023 16.49,2023-03-01 17:07:21.347122
1523495,01-03-2023 16.52,2023-03-01 17:09:00.195597
1523496,01-03-2023 16.56,2023-03-01 17:11:37.980657
1523497,01-03-2023 16.57,2023-03-01 17:12:47.804847
1523498,01-03-2023 16.58,2023-03-01 17:15:43.809039
1523499,01-03-2023 16.58,2023-03-01 17:14:04.353376
1523500,01-03-2023 17.02,2023-03-01 17:25:11.639302
1523501,01-03-2023 17.03,2023-03-01 17:19:11.524090
1523502,01-03-2023 17.07,2023-03-01 17:23:24.428465
1523503,01-03-2023 17.14,2023-03-01 17:33:46.999768
1523504,01-03-2023 17.16,2023-03-01 17:32:40.868232
1523505,01-03-2023 17.18,2023-03-01 17:33:41.998464
1523506,01-03-2023 17.20,2023-03-01 17:36:16.345031
1523507,01-03-2023 17.32,2023-03-01 17:47:50.173042
1523508,01-03-2023 17.32,2023-03-01 17:48:06.783369
1523509,01-03-2023 17.37,2023-03-01 17:53:01.992143
1523510,01-03-2023 17.38,2023-03-01 17:56:30.291654
1523511,01-03-2023 17.38,2023-03-01 18:05:27.177996
1523512,01-03-2023 17.40,2023-03-01 17:55:55.949354
1523513,01-03-2023 17.42,2023-03-01 17:59:45.294578
1523514,01-03-2023 17.43,2023-03-01 17:58:21.126445
1523515,01-03-2023 17.48,2023-03-01 18:13:33.959495
1523516,01-03-2023 17.55,2023-03-01 18:11:04.894987
1523517,01-03-2023 17.59,2023-03-01 18:14:18.277903
1523518,01-03-2023 18.04,2023-03-01 18:19:28.186463
1523519,01-03-2023 18.05,2023-03-01 19:46:42.833697
1523520,01-03-2023 18.17,2023-03-01 18:33:50.792877
1523521,01-03-2023 18.23,2023-03-01 18:39:58.678906
1523522,01-03-2023 18.28,2023-03-01 18:47:47.543124
1523523,01-03-2023 18.29,2023-03-01 18:45:55.290637
1523524,01-03-2023 18.31,2023-03-01 18:48:00.270603
1523525,01-03-2023 18.39,2023-03-01 18:55:43.865070
1523526,01-03-2023 18.39,2023-03-01 19:26:50.712489
1523527,01-03-2023 18.42,2023-03-01 18:57:26.030372
1523528,01-03-2023 18.44,2023-03-01 19:01:13.115322
1523529,01-03-2023 18.46,2023-03-01 19:04:47.906773
1523530,01-03-2023 18.53,2023-03-01 19:09:59.477159
1523531,01-03-2023 18.57,2023-03-01 19:12:11.535055
1523532,01-03-2023 18.58,2023-03-01 19:13:58.779473
1523533,01-03-2023 19.11,2023-03-01 19:27:06.872294
1523534,01-03-2023 19.11,2023-03-01 19:27:22.754410
1523535,01-03-2023 19.12,2023-03-01 19:32:18.995836
1523536,01-03-2023 19.14,2023-03-01 19:30:13.990729
1523537,01-03-2023 19.14,2023-03-01 19:29:21.178917
1523538,01-03-2023 19.15,2023-03-01 19:33:45.253004
1523539,01-03-2023 19.17,2023-03-01 19:33:05.660437
1523540,01-03-2023 19.17,2023-03-01 19:33:29.713518
1523541,01-03-2023 19.17,2023-03-01 19:33:06.154558
1523542,01-03-2023 19.24,2023-03-01 19:39:42.043173
1523543,01-03-2023 19.29,2023-03-01 19:44:40.731604
1523544,01-03-2023 19.32,2023-03-01 19:50:06.015028
1523545,01-03-2023 19.34,2023-03-01 19:52:09.816429
1523546,01-03-2023 19.35,2023-03-01 19:51:15.022128
1523547,01-03-2023 19.37,2023-03-01 19:52:18.655478
1523548,01-03-2023 19.39,2023-03-01 19:57:05.472900
1523549,01-03-2023 19.40,2023-03-01 19:55:41.499853
1523550,01-03-2023 19.41,2023-03-01 19:56:27.682400
1523551,01-03-2023 19.42,2023-03-01 19:58:38.992764
1523552,01-03-2023 19.42,2023-03-01 19:58:39.371472
1523553,01-03-2023 19.42,2023-03-01 19:57:48.815383
1523554,01-03-2023 19.44,2023-03-01 20:18:26.374365
1523555,01-03-2023 19.45,2023-03-01 20:01:51.822457
1523556,01-03-2023 19.47,2023-03-01 20:02:35.881462
1523557,01-03-2023 19.53,2023-03-01 20:08:48.390606
1523558,01-03-2023 19.55,2023-03-01 20:12:04.213418
1523559,01-03-2023 20.02,2023-03-01 20:18:08.688343
1523560,01-03-2023 20.03,2023-03-01 20:20:12.081156
